Material,Material_desc,Productos_Por_Empaque,BrandPresRet,ProdKey,Brand,Presentation,MLSize,Returnability,Pack,Size,Flavor,Container,Ncb,ProductType,ProductCategory,SegAg,SegDet,GlobalCategory,GlobalSubcategory,BrandGrouper,GlobalFlavor
9465,CIEL EXPRIM LIMON 600 ML NR 6B,6,CIEL EXPRIM 600 ML NO RETORNABLE,AGUA SABORIZADA,CIEL EXPRIM,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,LIMON,PLASTICO,1,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,AGUA SABORIZADA,AGUA,AGUA SABORIZADA,CIEL,LIMÓN
14450,PWD FIT ARNDNO ACAI 500ML NR PET 6B,6,POWERADE FIT 500 ML NO RETORNABLE,ISOTONICOS,POWERADE FIT,500 ML NR PET,500,NO RETORNABLE,500 ML,INDIVIDUAL,ARÁNDANO ACAÍ,PLASTICO,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS LIGHT,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,ARÁNDANO ACAÍ
148,FANTA UVA 500 ML RET VID 24B,24,FANTA 500 ML RETORNABLE,SABORES INDIVIDUAL RETORNABLE,FANTA,500 ML RET,500,RETORNABLE,500 ML,INDIVIDUAL,UVA,VIDRIO,0,SABORES REGULAR,REFRESCOS,SABORES,SABORES REGULAR,REFRESCOS,SABORES,FANTA,UVA
1088,SIERRAZUL AP 3.8 LTS NR 4B,4,SIERRAZUL AGUA PURIFICADA 3.80 L NO RETORNABLE,AGUA PURIFICADA FAMILIAR,SIERRAZUL AGUA PURIFICADA,GALÓN 3.8 LTS.,3800,NO RETORNABLE,GALÓN,FAMILIAR,AGUA,PLASTICO,1,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,AGUA PURIFICADA,AGUA,AGUA PURIFICADA,SIERRAZUL,SIN SABOR
2142,TOPO CHICO AM 340 ML  (12OZ) NR 6B,6,TOPO CHICO A.M. 340 ML NO RETORNABLE,AGUA MINERAL INDIVIDUAL,TOPO CHICO A.M.,12 OZ. NR VIDRIO,340,NO RETORNABLE,12 OZ.,INDIVIDUAL,AGUA MINERAL,VIDRIO,0,AGUA MINERAL,AGUA,AGUA MINERAL,AGUA MINERAL,AGUA,AGUA MINERAL,TOPO CHICO,SIN SABOR
623,COCA-COLA LATA 12B,12,COCA-COLA 355 ML NO RETORNABLE,COLAS REGULAR INDIVIDUAL NO RETORNABLE,COCA-COLA,LATA,355,NO RETORNABLE,LATA,INDIVIDUAL,COLA,LATA,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
14423,POWERADE MORAS 453 ML NR LAT 6,6,POWERADE 453 ML NO RETORNABLE,ISOTONICOS,POWERADE,LATA 453 ML,453,NO RETORNABLE,453 ML,INDIVIDUAL,MORAS,LATA,1,ISOTONICOS,CATEGORIAS EN EXPANSION,ISOTONICOS,ISOTONICOS REGULAR,BEBIDAS EMERGENTES,ISOTÓNICOS,POWERADE,MORAS
3698,STA CLARA LECHE CHOCOLATE 750ML TPK12,12,SANTA CLARA SABORIZADA 750 ML NO RETORNABLE,LECHE UHT SABORIZADA,SANTA CLARA SABORIZADA,750 ML TETRA,750,NO RETORNABLE,750 ML,FAMILIAR,CHOCOLATE,TETRA PACK,1,LECHE UHT SABORIZADA,LACTEOS,LECHE,LECHE UHT SABORIZADA,LÁCTEOS,LECHE SABORIZADA,SANTA CLARA,CHOCOLATE
2572,DELAWARE PUNCH 600 ML PET  NR 6B,6,DELAWARE PUNCH 600 ML NO RETORNABLE,BEBIDAS REFRESCANTES,DELAWARE PUNCH,600 ML NR,600,NO RETORNABLE,600 ML,INDIVIDUAL,UVA,PLASTICO,1,BEBIDAS REFRESCANTES,CATEGORIAS EN EXPANSION,BEBIDAS DE FRUTA,BEBIDAS DE FRUTA,BEBIDAS EMERGENTES,BEBIDAS REFRESCANTES,DELAWARE PUNCH,UVA
516,COCA-COLA 1 LT RET VD 12B,12,COCA-COLA 1.00 L RETORNABLE,COLAS REGULAR FAMILIAR RETORNABLE,COCA-COLA,1 LTRO RET.,1000,RETORNABLE,1 LITRO,FAMILIAR,COLA,VIDRIO,0,COLAS REGULAR,REFRESCOS,COLAS,COLAS REGULAR,REFRESCOS,COLAS NEGRAS,COCA-COLA,COLA
