,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
0,499920078,0,1,3,4
1,499920499,0,1,3,4
2,499921473,2,4,1,2
3,499921557,4,2,1,2
4,499921908,4,2,1,2
5,499922150,3,0,1,1
6,499922756,3,0,3,1
7,499923595,3,0,0,1
8,499924161,3,0,0,1
9,499924210,0,1,3,4
10,499924545,4,2,1,2
11,499924791,0,1,3,4
12,499925423,3,0,0,1
13,499925720,2,4,1,2
14,499926418,4,2,1,2
15,499926963,4,2,1,2
16,499927111,4,2,1,2
17,499927819,0,1,3,4
18,499929134,4,2,1,2
19,499929899,3,0,3,1
20,499930068,3,0,0,1
21,499930743,0,1,3,4
22,499930861,4,2,1,2
23,499931398,2,4,1,2
24,499932420,0,1,3,4
25,499932932,1,3,2,0
26,499933387,3,0,0,1
27,499933687,4,2,1,2
28,499934338,2,4,3,2
29,499935022,0,1,1,4
30,499935778,3,0,1,4
31,499935992,1,3,4,0
32,499942539,0,1,1,4
33,499951908,0,1,3,4
34,499968921,0,1,1,4
35,499968994,4,2,1,2
36,499969114,3,0,3,1
37,499969210,4,2,1,2
38,499969305,0,1,3,4
39,499970307,0,1,3,4
40,499970469,4,2,1,2
41,499970618,4,2,1,2
42,499970948,0,1,3,4
43,499970988,4,2,1,2
44,499971181,0,1,3,4
45,499971606,2,4,1,2
46,499971619,3,0,3,1
47,499972290,4,2,1,2
48,499972368,2,4,1,2
49,499972499,1,3,3,0
50,499972924,3,0,3,4
51,499975550,0,1,3,4
52,499976043,1,3,1,3
53,499976982,1,3,1,3
54,499977070,0,1,3,4
55,499977249,1,3,4,0
56,499984361,3,0,3,1
57,499985054,3,0,3,1
58,499986177,0,1,1,4
59,499986279,2,4,3,2
60,499986296,0,1,1,4
61,499986629,3,0,0,1
62,499986692,3,0,3,4
63,499988075,3,0,0,1
64,499988259,3,0,3,1
65,499988730,3,0,1,1
66,499990455,1,3,2,3
67,499993598,1,3,2,0
68,499994620,0,1,3,4
69,500009331,2,4,1,2
70,500009415,0,1,1,4
71,500009586,3,0,1,1
72,500009707,3,0,3,1
73,500009805,1,3,3,3
74,500009827,3,0,1,1
75,500009841,3,0,3,1
76,500009869,4,2,1,2
77,500009889,4,2,1,2
78,500009906,4,2,1,2
79,500010058,3,0,3,1
