,CustomerId,Cluster
0,499920078,2
1,499920499,2
2,499921473,2
3,499921557,1
4,499921908,1
5,499922150,1
6,499922756,2
7,499923595,2
8,499924161,2
9,499924210,2
10,499924545,1
11,499924791,1
12,499925423,2
13,499925720,1
14,499926418,1
15,499926963,1
16,499927111,1
17,499927819,2
18,499929134,1
19,499929899,1
20,499930068,2
21,499930743,2
22,499930861,1
23,499931398,2
24,499932420,1
25,499932932,0
26,499933387,2
27,499933687,1
28,499934338,1
29,499935022,1
30,499935778,1
31,499935992,0
32,499942539,1
33,499951908,2
34,499968921,1
35,499968994,1
36,499969114,2
37,499969210,1
38,499969305,2
39,499970307,2
40,499970469,1
41,499970618,1
42,499970948,2
43,499970988,2
44,499971181,2
45,499971606,2
46,499971619,2
47,499972290,1
48,499972368,2
49,499972499,2
50,499972924,2
51,499975550,2
52,499976043,2
53,499976982,2
54,499977070,1
55,499977249,0
56,499984361,2
57,499985054,2
58,499986177,1
59,499986279,2
60,499986296,2
61,499986629,2
62,499986692,2
63,499988075,2
64,499988259,2
65,499988730,1
66,499990455,2
67,499993598,2
68,499994620,2
69,500009331,1
70,500009415,2
71,500009586,2
72,500009707,2
73,500009805,2
74,500009827,2
75,500009841,2
76,500009869,3
77,500009889,1
78,500009906,1
79,500010058,2
80,500010092,2
81,500010169,2
82,500010825,1
83,500011066,2
84,500011765,2
85,500011767,2
86,500011807,2
87,500011914,2
88,500012012,2
89,500012050,2
90,500012266,2
91,500012630,2
92,500013121,2
93,500013225,1
94,500013252,2
95,500013419,2
96,500013654,2
97,500014059,1
98,500014233,2
99,500014934,2
100,500015361,2
101,500015620,2
102,500015631,2
103,500016045,2
104,500016206,2
105,500016535,2
106,500016840,2
107,500017061,2
108,500017253,3
109,500017633,1
110,500017732,2
111,500017777,1
112,500018710,2
113,500019283,2
114,500019305,2
115,500020076,2
116,500020205,2
117,500020251,2
118,500020489,2
119,500020629,2
120,500020655,2
121,500020777,2
122,500020778,3
123,500020832,3
124,500020962,1
