,Variable1,Variable2,Correlation
14172,PADRON_300m,LISTA_300m,0.9999854414508604
13762,PADRON_HOMBRES_300m,LISTA_HOMBRES_300m,0.9999816333764064
13967,PADRON_MUJERES_300m,LISTA_MUJERES_300m,0.9999810054970906
20096,ocupados_conteo_personas_300m,pea_conteo_personas_300m,0.9999066286357661
20094,ocupados_conteo_personas_300m,asalariados_conteo_personas_300m,0.9995411565338173
20912,asalariados_conteo_personas_300m,pea_conteo_personas_300m,0.9994808385346893
13941,PADRON_MUJERES_300m,PADRON_300m,0.9990064684259004
19476,LISTA_MUJERES_300m,LISTA_300m,0.9990054825300777
13968,PADRON_MUJERES_300m,LISTA_300m,0.999000744697428
14171,PADRON_300m,LISTA_MUJERES_300m,0.9989816275278067
13737,PADRON_HOMBRES_300m,PADRON_300m,0.9989122271126901
19272,LISTA_HOMBRES_300m,LISTA_300m,0.998911573513572
14170,PADRON_300m,LISTA_HOMBRES_300m,0.9989067711990837
13764,PADRON_HOMBRES_300m,LISTA_300m,0.9988884554100772
13386,modelos_hog_fam_conteo_hogares_300m,viviendas_300m,0.9985544804613121
13121,modelos_tres_mas_conteo_hogares_300m,modelos_hog_fam_conteo_hogares_300m,0.9970696979326501
3896,mov_10_00_11_59,mov_12_00_13_59,0.9970216219127616
12714,modelos_una_persona_conteo_hogares_300m,modelos_hog_no_fam_conteo_hogares_300m,0.9967388179868989
4102,mov_12_00_13_59,mov_16_00_17_59,0.996257323789764
4511,mov_16_00_17_59,mov_18_00_19_59,0.996113005238753
2461,mov_lunes,mov_martes,0.9960502376525787
13966,PADRON_MUJERES_300m,LISTA_HOMBRES_300m,0.9958485826146848
13736,PADRON_HOMBRES_300m,PADRON_MUJERES_300m,0.9958416883753964
19271,LISTA_HOMBRES_300m,LISTA_MUJERES_300m,0.9958383961172931
13763,PADRON_HOMBRES_300m,LISTA_MUJERES_300m,0.9958107830724712
3490,mov_sabado,mov_16_00_17_59,0.99422854216228
2470,mov_lunes,mov_16_00_17_59,0.9942284126803163
3084,mov_jueves,mov_20_00_21_59,0.9940847774683413
3285,mov_viernes,mov_14_00_5_59,0.9939762031104616
3491,mov_sabado,mov_18_00_19_59,0.9939657608746005
3083,mov_jueves,mov_18_00_19_59,0.9938881791889822
3898,mov_10_00_11_59,mov_16_00_17_59,0.9938725297391311
2471,mov_lunes,mov_18_00_19_59,0.9938656424176182
21343,pea_conteo_personas_300m,POBTOT_300m,0.9937813342136277
4103,mov_12_00_13_59,mov_18_00_19_59,0.9936299102172621
13182,modelos_tres_mas_conteo_hogares_300m,viviendas_300m,0.9935595189904071
2667,mov_martes,mov_jueves,0.9935233961185048
4716,mov_18_00_19_59,mov_20_00_21_59,0.9934704390134332
20119,ocupados_conteo_personas_300m,POBTOT_300m,0.9932943173848489
2463,mov_lunes,mov_jueves,0.9932596450564077
2467,mov_lunes,mov_10_00_11_59,0.9932470749745818
2872,mov_miercoles,mov_viernes,0.9932092482786707
2472,mov_lunes,mov_20_00_21_59,0.9931818328870673
2468,mov_lunes,mov_12_00_13_59,0.9931149819602102
3082,mov_jueves,mov_16_00_17_59,0.9928967866415696
3899,mov_10_00_11_59,mov_18_00_19_59,0.9928118554430637
20935,asalariados_conteo_personas_300m,POBTOT_300m,0.9926677566972651
2676,mov_martes,mov_20_00_21_59,0.9924841137118366
2675,mov_martes,mov_18_00_19_59,0.9923209857316545
30546,flo_sem_30a44_300m,flo_sem_45a64_300m,0.9922860205204711
2877,mov_miercoles,mov_14_00_5_59,0.9921492725191119
2674,mov_martes,mov_16_00_17_59,0.9919004455674072
3488,mov_sabado,mov_12_00_13_59,0.9916325026068166
3492,mov_sabado,mov_20_00_21_59,0.9913270794620713
3487,mov_sabado,mov_10_00_11_59,0.9913053947227563
2875,mov_miercoles,mov_10_00_11_59,0.991187534698685
4512,mov_16_00_17_59,mov_20_00_21_59,0.9911860748942443
2672,mov_martes,mov_12_00_13_59,0.991183241427644
2465,mov_lunes,mov_sabado,0.9911682288040047
2671,mov_martes,mov_10_00_11_59,0.9911540471844503
2265,mov_domingo,mov_14_00_5_59,0.9906507314443199
2462,mov_lunes,mov_miercoles,0.9906293401439322
2876,mov_miercoles,mov_12_00_13_59,0.9904611790044774
3080,mov_jueves,mov_12_00_13_59,0.9902608611641903
3691,mov_8_00_9_59,mov_10_00_11_59,0.9902607459177325
29935,flo_otros_300m,flo_sem_65amas_300m,0.9901466601308544
2666,mov_martes,mov_miercoles,0.98973092950859
2878,mov_miercoles,mov_16_00_17_59,0.989559219017329
3077,mov_jueves,mov_sabado,0.9895278811401922
3283,mov_viernes,mov_10_00_11_59,0.9895016153617555
3079,mov_jueves,mov_10_00_11_59,0.9894774130441121
21742,gasto_promedio_300m,ingreso_promedio_300m,0.9890598095816729
2260,mov_domingo,mov_viernes,0.9887396800878622
9030,h_6_11_conteo_personas_300m,m_6_11_conteo_personas_300m,0.9883338562142818
3692,mov_8_00_9_59,mov_12_00_13_59,0.9883212447507053
4104,mov_12_00_13_59,mov_20_00_21_59,0.9878770583963098
15171,LISTA_20_24_HOMBRES_300m,LISTA_20_24_MUJERES_300m,0.987810348409906
3900,mov_10_00_11_59,mov_20_00_21_59,0.9877956673534898
4101,mov_12_00_13_59,mov_14_00_5_59,0.9877699882284198
2880,mov_miercoles,mov_20_00_21_59,0.9875588336975225
15581,LISTA_25_29_HOMBRES_300m,LISTA_25_29_MUJERES_300m,0.987338568348574
3284,mov_viernes,mov_12_00_13_59,0.9873201162155999
2873,mov_miercoles,mov_sabado,0.9871814697652358
2669,mov_martes,mov_sabado,0.987065595483377
3897,mov_10_00_11_59,mov_14_00_5_59,0.986957457863178
2879,mov_miercoles,mov_18_00_19_59,0.9862232315388572
2871,mov_miercoles,mov_jueves,0.9852140001925793
2874,mov_miercoles,mov_8_00_9_59,0.9849067020925933
4306,mov_14_00_5_59,mov_16_00_17_59,0.9846677798903553
3282,mov_viernes,mov_8_00_9_59,0.984629786738175
2464,mov_lunes,mov_viernes,0.984400590156931
3286,mov_viernes,mov_16_00_17_59,0.9843048918272224
3281,mov_viernes,mov_sabado,0.9841889922533779
2466,mov_lunes,mov_8_00_9_59,0.9836962424131459
2258,mov_domingo,mov_miercoles,0.9834208397866415
15991,LISTA_30_34_HOMBRES_300m,LISTA_30_34_MUJERES_300m,0.9831389749592025
18861,LISTA_65_Y_MAS_HOMBRES_300m,LISTA_65_Y_MAS_MUJERES_300m,0.9830414656613361
9645,h_18_24_conteo_personas_300m,m_18_24_conteo_personas_300m,0.9822502556974119
2469,mov_lunes,mov_14_00_5_59,0.9821961750486844
3694,mov_8_00_9_59,mov_16_00_17_59,0.9819365680501135
2670,mov_martes,mov_8_00_9_59,0.9818094474092296
3693,mov_8_00_9_59,mov_14_00_5_59,0.9814367285930148
2668,mov_martes,mov_viernes,0.9814256980462901
25831,viviendas_300m,POBTOT_300m,0.9808510564806613
3489,mov_sabado,mov_14_00_5_59,0.9807383299176001
3287,mov_viernes,mov_18_00_19_59,0.9806381059332402
3695,mov_8_00_9_59,mov_18_00_19_59,0.9805227725447674
13387,modelos_hog_fam_conteo_hogares_300m,POBTOT_300m,0.9798441007974608
16401,LISTA_35_39_HOMBRES_300m,LISTA_35_39_MUJERES_300m,0.9797391045053057
20301,estudiantes_conteo_personas_300m,pnea_conteo_personas_300m,0.9796558281588835
26658,flo_sem_c_300m,flo_finde_c_300m,0.9793909961603373
26863,flo_sem_cmas_300m,flo_finde_cmas_300m,0.9792476214433481
21342,pea_conteo_personas_300m,viviendas_300m,0.9791605711101216
3288,mov_viernes,mov_20_00_21_59,0.9791272276891233
16811,LISTA_40_44_HOMBRES_300m,LISTA_40_44_MUJERES_300m,0.9790775427293046
20118,ocupados_conteo_personas_300m,viviendas_300m,0.9789526438387469
3696,mov_8_00_9_59,mov_20_00_21_59,0.9789242072875415
20934,asalariados_conteo_personas_300m,viviendas_300m,0.978711982868971
17221,LISTA_45_49_HOMBRES_300m,LISTA_45_49_MUJERES_300m,0.9786964691279013
9440,h_15_17_conteo_personas_300m,m_15_17_conteo_personas_300m,0.9786426920227339
3078,mov_jueves,mov_8_00_9_59,0.9785791630654561
26248,flo_sem_tot_300m,flo_finde_tot_300m,0.9779020223315052
26453,flo_sem_ab_300m,flo_finde_ab_300m,0.9778992154508869
10055,h_30_49_conteo_personas_300m,m_30_49_conteo_personas_300m,0.9778371217556484
9235,h_12_14_conteo_personas_300m,m_12_14_conteo_personas_300m,0.9777326686747346
27068,flo_sem_cmen_300m,flo_finde_cmen_300m,0.9777117303022929
13364,modelos_hog_fam_conteo_hogares_300m,pea_conteo_personas_300m,0.9776307081696871
3486,mov_sabado,mov_8_00_9_59,0.9774148327358482
13358,modelos_hog_fam_conteo_hogares_300m,ocupados_conteo_personas_300m,0.9773678382750967
2673,mov_martes,mov_14_00_5_59,0.9773229651279183
13183,modelos_tres_mas_conteo_hogares_300m,POBTOT_300m,0.9772064177404883
13362,modelos_hog_fam_conteo_hogares_300m,asalariados_conteo_personas_300m,0.9768580219232704
8825,h_3_5_conteo_personas_300m,m_3_5_conteo_personas_300m,0.9768195395190385
18041,LISTA_55_59_HOMBRES_300m,LISTA_55_59_MUJERES_300m,0.9764297946725337
3076,mov_jueves,mov_viernes,0.9764232579417695
4307,mov_14_00_5_59,mov_18_00_19_59,0.9763206810799026
10465,h_60_mas_conteo_personas_300m,m_60_mas_conteo_personas_300m,0.9757309991343821
27478,flo_sem_dmas_300m,flo_finde_dmas_300m,0.9752866613172534
26244,flo_sem_tot_300m,flo_sem_cmen_300m,0.9747563201156757
4308,mov_14_00_5_59,mov_20_00_21_59,0.9747380490912139
17631,LISTA_50_54_HOMBRES_300m,LISTA_50_54_MUJERES_300m,0.9746422856572733
13160,modelos_tres_mas_conteo_hogares_300m,pea_conteo_personas_300m,0.9744691823982677
13154,modelos_tres_mas_conteo_hogares_300m,ocupados_conteo_personas_300m,0.9742347108873088
12138,m_30_49_conteo_personas_300m,asalariados_conteo_personas_300m,0.973752928463906
12140,m_30_49_conteo_personas_300m,pea_conteo_personas_300m,0.973586766318286
13158,modelos_tres_mas_conteo_hogares_300m,asalariados_conteo_personas_300m,0.9734704659722909
12134,m_30_49_conteo_personas_300m,ocupados_conteo_personas_300m,0.9732411900151658
8611,h_0_2_conteo_personas_300m,h_3_5_conteo_personas_300m,0.9732387285754283
10260,h_50_59_conteo_personas_300m,m_50_59_conteo_personas_300m,0.9730784447277573
26242,flo_sem_tot_300m,flo_sem_c_300m,0.9727847773612193
18451,LISTA_60_64_HOMBRES_300m,LISTA_60_64_MUJERES_300m,0.9726804890851944
27273,flo_sem_d_300m,flo_finde_d_300m,0.9719542787277615
10661,m_0_2_conteo_personas_300m,m_3_5_conteo_personas_300m,0.9714435578072156
2263,mov_domingo,mov_10_00_11_59,0.971402284654733
13744,PADRON_HOMBRES_300m,LISTA_25_29_HOMBRES_300m,0.9711253428934314
15598,LISTA_25_29_HOMBRES_300m,LISTA_HOMBRES_300m,0.9710100600016747
8621,h_0_2_conteo_personas_300m,m_3_5_conteo_personas_300m,0.9708799827586168
3081,mov_jueves,mov_14_00_5_59,0.9708743998259072
13745,PADRON_HOMBRES_300m,LISTA_25_29_MUJERES_300m,0.9708307949524811
12163,m_30_49_conteo_personas_300m,POBTOT_300m,0.9708249291374097
9439,h_15_17_conteo_personas_300m,m_12_14_conteo_personas_300m,0.9707530991396129
15802,LISTA_25_29_MUJERES_300m,LISTA_HOMBRES_300m,0.970711065930444
8816,h_3_5_conteo_personas_300m,h_6_11_conteo_personas_300m,0.970347118226116
8620,h_0_2_conteo_personas_300m,m_0_2_conteo_personas_300m,0.9703023754969285
14153,PADRON_300m,LISTA_25_29_MUJERES_300m,0.9702236206258247
15804,LISTA_25_29_MUJERES_300m,LISTA_300m,0.970138784562809
9226,h_12_14_conteo_personas_300m,h_15_17_conteo_personas_300m,0.970023812033698
9236,h_12_14_conteo_personas_300m,m_15_17_conteo_personas_300m,0.9695658755940055
9029,h_6_11_conteo_personas_300m,m_3_5_conteo_personas_300m,0.969393458957591
2261,mov_domingo,mov_sabado,0.9691367456056214
2256,mov_domingo,mov_lunes,0.9689464922517065
11276,m_12_14_conteo_personas_300m,m_15_17_conteo_personas_300m,0.9689036601349751
8824,h_3_5_conteo_personas_300m,m_0_2_conteo_personas_300m,0.9686879498022084
2264,mov_domingo,mov_12_00_13_59,0.9685837878049143
2262,mov_domingo,mov_8_00_9_59,0.9684767241975981
10866,m_3_5_conteo_personas_300m,m_6_11_conteo_personas_300m,0.9683850068027294
8826,h_3_5_conteo_personas_300m,m_6_11_conteo_personas_300m,0.9683605458648021
21547,pnea_conteo_personas_300m,POBTOT_300m,0.9682321141363004
13949,PADRON_MUJERES_300m,LISTA_25_29_MUJERES_300m,0.9676707288844958
14152,PADRON_300m,LISTA_25_29_HOMBRES_300m,0.9676667674738133
15803,LISTA_25_29_MUJERES_300m,LISTA_MUJERES_300m,0.9676175466083845
